date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,home_win_rate_vs_top,away_win_rate_vs_top,h2h_home_wins,matches_played_diff,home_rank,away_rank,rank_diff,label
2007-03-17,Alderney,Guernsey,0.1,0.5,0.7,2.1,3.5,1.3,0.33,0.33,0.125,-32,100,100,0,0
2007-06-30,Rhodes,Saare County,0.5,0.1,1.5,0.7,1.25,2.0,0.33,0.33,0.5,-9,100,100,0,1
2007-07-01,Rhodes,Frøya,0.5555555555555556,0.3,1.5555555555555556,3.3,1.1111111111111112,3.0,0.33,0.33,0.5,-5,100,100,0,1
2007-07-01,Western Isles,Gotland,0.4,0.5,2.8,3.4,2.0,1.5,0.33,0.33,0.5,-5,100,100,0,1
2007-07-02,Gotland,Western Isles,0.4,0.5,2.3,2.6666666666666665,1.6,1.8333333333333333,0.33,0.33,1.0,5,100,100,0,0
2007-07-02,Saare County,Frøya,0.1,0.2,0.7,3.0,2.0,3.2,0.33,0.33,0.0,3,100,100,0,0
2007-07-02,Ynys Môn,Åland Islands,0.5,0.4,1.2,1.5,0.8,1.7,0.33,0.33,0.5,11,100,100,0,0
2007-07-04,Frøya,Gotland,0.3,0.3,3.1,2.1,2.8,1.8,0.33,0.33,0.0,4,100,100,0,0
2007-07-04,Jersey,Åland Islands,0.6,0.5,2.2,1.7,0.7,1.6,0.33,0.33,1.0,35,100,100,0,1
2007-07-04,Rhodes,Western Isles,0.6,0.5714285714285714,1.7,2.7142857142857144,1.1,1.7142857142857142,0.33,0.33,0.5,3,100,100,0,1
2007-07-05,Jersey,Gotland,0.6,0.4,2.0,2.0,0.7,1.4,0.33,0.33,0.0,42,100,100,0,1
2007-07-05,Menorca,Saare County,0.3333333333333333,0.1,2.333333333333333,0.9,1.3333333333333333,2.1,0.33,0.33,0.5,-16,100,100,0,1
2007-07-05,Åland Islands,Frøya,0.4,0.3,1.5,3.0,1.6,2.8,0.33,0.33,0.5,3,100,100,0,1
2008-03-08,Alderney,Jersey,0.1,0.6,0.7,1.7,3.4,0.7,0.33,0.33,0.1428571428571428,-37,100,100,0,0
2008-07-12,Padania,Arameans Suryoye,1.0,0.6666666666666666,3.333333333333333,2.0,0.6666666666666666,0.0,0.33,0.33,0.5,0,100,100,0,1
2008-07-12,Sápmi,Provence,0.5714285714285714,0.0,6.714285714285714,0.3333333333333333,0.8571428571428571,4.666666666666667,0.33,0.33,0.5,4,100,100,0,1
2008-07-13,Padania,Arameans Suryoye,1.0,0.5,3.5,1.75,0.75,1.0,0.33,0.33,1.0,0,100,100,0,1
2008-07-13,Sápmi,Iraqi Kurdistan,0.625,0.25,6.375,1.5,1.0,1.0,0.33,0.33,0.0,4,100,100,0,1
2008-09-24,Guadeloupe,Martinique,0.4,0.6,1.3,1.4,1.5,1.3,0.33,0.33,0.6,-26,100,100,0,0
2008-09-25,Mayotte,Réunion,0.25,0.5,0.75,1.4,1.75,0.6,0.33,0.33,0.5,-12,100,100,0,0
2008-09-28,French Guiana,Mayotte,0.2,0.2,1.1,0.8,1.5,2.6,0.33,0.33,0.5,18,100,100,0,1
2008-10-01,French Guiana,Réunion,0.3,0.5,1.3,1.8,1.5,0.7,0.33,0.33,0.5,7,100,100,0,0
2008-10-03,Guadeloupe,French Guiana,0.4,0.3,1.2,1.3,1.1,1.6,0.33,0.33,0.3333333333333333,25,100,100,0,1
2008-10-04,Martinique,Réunion,0.6,0.6,1.2,1.7,1.0,0.4,0.33,0.33,0.5,58,100,100,0,0
